# STOP DELETING THIS

### ARCADE ###
SAA = "countries/Arcade A.txt"
SAB = "countries/Arcade B.txt"

###EUROPE###
GER = "countries/Germany.txt"
FRS = "countries/France.txt"
POL = "countries/Poland.txt"
GGN = "countries/General Gouvernment.txt"
CZE = "countries/Czechoslovakia.txt"
SLO = "countries/Slovakia.txt"
UKR = "countries/Ukraine.txt"
FUK = "countries/Free Ukraine.txt"
BOV = "countries/BOV Ukraine.txt"
UKS = "countries/UkrainianSSR.txt"
HEE = "countries/Heerema.txt"
MCW = "countries/Moscow.txt"
OST = "countries/Ostland.txt"
COG = "countries/Congo.txt"
ANG = "countries/Angola.txt"
CAU = "countries/Caucasia.txt"
SER = "countries/Serbia.txt"
SRN = "countries/Serbian Chetniks.txt"
MAC = "countries/Macedonia.txt"
DEN = "countries/Denmark.txt"
HOL = "countries/Holland.txt"
NOR = "countries/Norway.txt"
CRN = "countries/Cornwall.txt"
GRO = "countries/Ostafrika.txt"
ENG = "countries/England.txt"
BRT = "countries/Brittany.txt"
IRE = "countries/Republic of Ireland.txt"
BUL = "countries/Bulgaria.txt"
KRL = "countries/Karelia.txt"
MPR = "countries/Murmansk.txt"
BRG = "countries/Burgundy.txt"
MAD = "countries/Madagascar.txt"
BGR = "countries/Bormanns Germany.txt"
RNW = "countries/Government of National Reconstruction.txt"
GEO = "countries/Georgia.txt"
ADY = "countries/Adygea.txt"
DAG = "countries/Dagestan.txt"
GGR = "countries/Gorings Germany.txt"
HGR = "countries/Heydrichs Germany.txt"
BLR = "countries/Belarus.txt"
JST = "countries/Jeckelns_Ostland.txt"
DST = "countries/Drechslers_Ostland.txt"
MST = "countries/Meyer-Landrut_Ostland.txt"
UPO = "countries/UPO.txt"
LIT = "countries/Lithuania.txt"
SWE = "countries/Sweden.txt"
GTL = "countries/Gotland.txt"
SWI = "countries/Switzerland.txt"
SCO = "countries/Scotland.txt"
SGR = "countries/Speers Germany.txt"
WAL = "countries/Wales.txt"
ROM = "countries/Romania.txt"
CRO = "countries/Croatia.txt"
BOS = "countries/Bosnia.txt"
FIN = "countries/Finland.txt"
RFI = "countries/Red Finland.txt"
HUN = "countries/Hungary.txt"
IBR = "countries/Iberia.txt"
CRI = "countries/Crimea.txt"
POR = "countries/Portugal.txt"
SPA = "countries/Spanish Authority.txt"
PIC = "countries/Picardie.txt"
ULS = "countries/NCSZ.txt"
FEN = "countries/Free England.txt"
GOT = "countries/Gotenland.txt"
FLR = "countries/Flanders.txt"
RPY = "countries/RedPoppy.txt"
SRT = "countries/SlaveRevolt.txt"
DFK = "countries/DeutschesFreikorps.txt"
FRM = "countries/FrenchMilitias.txt"
FRD = "countries/FrenchResistance.txt"
FMM = "countries/FrenchMilice.txt"
FRV = "countries/FrenchRevolutionaires.txt"
FGR = "countries/FrenchGermanAligned.txt"
FIT = "countries/FrenchItalyAligned.txt"

SNM = "countries/San Marino.txt"
MOC = "countries/Monaco.txt"
PAD = "countries/Andorra.txt"
VAC = "countries/Vatican City.txt"

###UNITED STATES###
USA = "countries/USA.txt"
CAN = "countries/Canada.txt"
ICE = "countries/Iceland.txt"
NZL = "countries/New Zealand.txt"
AST = "countries/Australia.txt"
QUE = "countries/Quebec.txt"
GRN = "countries/Greenland.txt"
